title,company,location,date_posted,description,url,source
Digital Sales Executive,Top Notch Consultancy,Muscat,2025-06-19T11:41:32,"Job Overview:We are seeking a highly motivated Digital Sales Executive to join our client's team in Muscat, Oman. In this role, you will be responsible for driving digital advertising sales, building strong client relationships, and delivering innovative marketing solutions. You will work with brands, agencies, and partners to promote our digital advertising products and achieve revenue targets.Key Responsibilities: Identify and develop new business opportunities in the digital advertising space. Manage and grow a portfolio of clients, including brands, agencies, and advertisers. Promote and sell digital programmatic advertising and performance marketing. Understand client needs and propose tailored advertising strategies to achieve their marketing goals. Negotiate pricing, and campaign terms to close deals. Collaborate with internal teams (ad operations, creative, and analytics) to ensure campaign success. Stay up to date with industry trends, competitor activities, and emerging digital marketing technologies. Track and report sales performance, providing insights and recommendations for growth. Qualifications & Skills: Experience: 2-5 years in digital advertising sales, media sales, or related fields. Industry Knowledge: Strong understanding of digital advertising solutions (programmatic, performance marketing, social media ads, etc.). Sales Skills: Proven track record of meeting or exceeding sales targets. Client Management: Ability to build and maintain strong relationships with direct clients and agencies. Communication: Excellent presentation, negotiation, and interpersonal skills. Top Notch Consultancy",https://www.careerjet.com.om/jobad/omfae28e8b9d995ca987118d01f5bdf894,careerjet
Nursing Assistant - Oman,People Perfect,Muscat,2025-06-19T11:41:32,"Job Description Assist registered nurses and medical staff in daily patient care Monitor vital signs and report changes in patient conditions Help patients with personal hygiene, feeding, and mobility Maintain cleanliness and organisation of patient rooms and medical equipment Ensure accurate and timely documentation of patient information Follow all health and safety protocols strictly Qualifications:ANM 2-year program from a reputed instituteMinimum 3 years of relevant experience in a healthcare facilityPositive Dataflow reports are mandatory People Perfect",https://www.careerjet.com.om/jobad/om31d63e5432320ef7d2e269b677181135,careerjet
Dynamics 365 CE Technical Architect,Black Pen Recruitment,Muscat,2025-04-24T11:41:33,"Our client’s Microsoft Business Solutions team is a Microsoft Gold Partner and leader in Microsoft software implementations for medium to large organisations, providing their clients with the ability to keep up with the ever-changing digital world by implementing Microsoft’s Enterprise Resource Planning (ERP) and Customer Engagement (CE) software from the Microsoft Dynamics 365 (D365) software line.Role OverviewThe Dynamics CE Technical Architect is a core team member of our client’s customer delivery of Microsoft Dynamics 365 centred solutions. The architect will be involved in the business processes and solution design and will be hands on configuring and customising the implementation of Dynamics CE solutions working with both onshore and offshore development teams. The position may require business travel.Job Location: Silema, MaltaWork Type: HybridJob Type: Full-time, PermanentWorking Hours: GMT +1Salary: Base + Benefits (Paid in Euros €)Relocation: VISA & Relocation Package IncludedRequirements A University graduate with relevant degree within a computing or business discipline; Microsoft Dynamics CRM Certifications (2016, D365) & Power Platform Certifications are desirable; Strong technical & functional knowledge and understanding of Microsoft Dynamics CRM and Power Platform stack covering a wide spectrum of industries and sectors; Minimum 10+ years of relevant and proven end to end implementation experience in Dynamics CRM configuration, customization, standard or customized workflows, dashboards, forms, views, integration, custom plugin development, report development; Strong and proven experience in developing solutions that involve Power Platform (including Power Apps like Canvas, Model driven, Power Automate, Power BI, Power Pages, etc.) Detailed knowledge and understanding of all areas within Customer Engagement including Sales, Marketing, Customer Service & Field Services; Good understanding of Dataverse including customisations and development of Business Data Models for different solutions etc.; Good understand of Microsoft Dynamics CRM Accelerators, industry templates and add-ons Proven track record of leading technical team and successfully delivering a number of solutions for medium/ large customers, preferably across a number of business verticals (e.g. healthcare, finance, insurance etc.); Proven ability to develop a clear understanding of clients’ needs and the ability to incorporate them into a solution following effective design approach; Experience of consultancy roles in software delivery; Experience in a delivery-orientated IT environment using waterfall, agile and DevOps methodologies; Adept at business requirement analysis, solution design, development, system verification and deployment strategies; Ability to see the bigger picture and suggest solutions both within and outside the current implementation; Experience in creation of demos, supporting pre-sales activities is an advantage; Business process mapping, Fit Gap analysis, work package estimation, work breakdown structure, modelling and documentation experience; Excellent understanding of Dynamics CRM DB Schema and Business Data Model including the customisation and development of Business Data Models for different solutions; Broad understanding of software development lifecycle, development management, release management, data migrations, cut-over planning and hyper care support; Strong knowledge of Azure DevOps & CI/CD pipelines; Knowledge and understanding of .NET framework including extensive experience writing ASP.NET and C# code (not just limited to plugins/custom workflows) is a plus; Additional Technical Skills: PCF Component development, TypeScript, Unit Testing of TypeScript/JavaScript, Unit Testing of .Net Plugins, Core technical skills, i.e. use of git for source control. ResponsibilitiesThe Technical Architect will work to implement various modules of Dynamics CRM working closely with client teams and business stakeholders. Organise, execute, manage and document workshops, meetings and requirements sessions with the client representatives, project stakeholders, business analysts and consulting team; Interface effectively with other members of the consulting team to arrive at best in class solution, and provide a sustainable and scalable solution architecture and application to meet client’s requirements; Deliver high quality business and software solutions & services to clients ensuring the implementation of best practices based on Microsoft Dynamics standards and supported configuration/ customizations; Ensure completeness in meeting business requirements and take accountability for project deliverables including and not limited to project documentation, solution design, performance, reliability, testing features etc; Deliver all consultancy and configuration work according to our project methodology, ensuring that all software applications are implemented successfully according to the SLA: on time and on budget; Maximize usage of OOB features and provide technical design or develop/customize solution approach for identified gaps; Contribute to activities as required including technical presales, building demo and proof of concept solutions for various client presentations; Proactively skilling up on new versions and technology stack to be future ready; Work on the creation of Dynamics 365 solutions and industry templates; Meet and exceed customer expectations of business knowledge, skills and behaviour; Be a trusted advisor for our clients and help to provide solutions which can be upgrade ready; Proactively identify business/ project/ technical/ support risks and provide suggestions to mitigate or communicate as necessary; Proactively communicate progress updates to relevant parties both formally and informally; Support practice development activities such as defining, solutioning and configuring industry specific solutions; Be an active member of technical and design working groups within the practice; In all activities, ensure timely completion of internal processes and mandatory trainings; Drive for process improvement, feature reusability and other initiatives to maximize efficiency in delivery; Carry out additional duties as may occur from time to time as instructed and agreed by the management team or supervisors; Provide guidance and mentorship (technical/professional) to groom junior team members; Represent our client’s Microsoft Business Solutions team in a professional and positive manner at all times; The Employee is required to follow our client’s Information Security Policies (ISP and ISMP) at all times. Microsoft Business Solutions OverviewAt our client, your long-term future is every bit as important to them as it is to you. That’s why our clients aim is to give you experiences that will stay with you for a lifetime. Whether it’s great training and development, mobility opportunities or corporate responsibility volunteering activities – you’ll gain a wealth of experiences on which to build a rewarding career. Our client is a firm that encourages you to be yourself, values your contribution, and inspires you to act as a role model, always focused on doing the right thing for each other, our clients, and our communities.This sets out all the different ways you’ll be rewarded at our client. Among other things, you can benefit from honest conversations about your career as well as a range of other rewards. In all these ways and more, they have created an environment that can bring out the best in you.#Bethechange and #makethechange. Join our talented, successful team and make the leap into the future.For this exciting opportunity they have put together a great package that combines a competitive salary with a bundle of extras including allowances, business travel allowances, certifications to support you in your career growth, private insurance, and medical insurance for you and your family.Don’t worry, our client knows that relocation can be a challenge, which is why they have an extremely supportive onboarding team to help you throughout this process! - They provide relocation support for you and your family. Our client is looking forward to meeting you and seeing you grow. Black Pen Recruitment",https://www.careerjet.com.om/jobad/omb61ba6eefc0d4db107ce778aaa3d3081,careerjet
Healthcare Assistant - Oman,People Perfect,Muscat,0000-00-00T00:00:00,"Job DescriptionAssist nurses and medical staff in delivering patient careSupport patients with personal hygiene, feeding, and mobilityRecord and report vital signs and any changes in patient conditionEnsure a clean and safe environment for patientsMaintain patient records and follow care protocolsUphold healthcare facility policies and safety standardsQualifications:ANM 1-year program from a reputed instituteMinimum 3 years of experience in a healthcare settingPositive Dataflow reports are mandatory People Perfect",https://www.careerjet.com.om/jobad/om53267c74cd1379aeb78cab497d7083ae,careerjet
Dynamics 365 CE Analyst Programmer,Black Pen Recruitment,Muscat,0000-00-00T00:00:00,"Our client’s Microsoft Business Solutions team is a Microsoft Gold Partner and leader in Microsoft software implementations for medium to large organisations, providing their clients with the ability to keep up with the ever-changing digital world by implementing Microsoft’s Enterprise Resource Planning (ERP) and Customer Engagement (CE) software from the Microsoft Dynamics 365 (D365) software line.Role OverviewThe Dynamics 365 Customer Engagement (D365CE) Analyst Programmer is a member of our client’s Microsoft Business Solutions’ customer delivery team of D365CE centred solutions. The developer will assist in delivering the technical implementation and design of D365CE solutions. They will be working with both onshore and offshore development teams. The developer will also be involved in the development of integration solutions between D365CE and various third-party legacy systems for their clients. The developer will have extensive experience with .Net, JavaScript development for D365CE. They should be aware of best practices across the development lifecycle including code management, test methodologies and build processes.Job Location: Silema, MaltaWork Type: HybridJob Type: Full-time, PermanentWorking Hours: GMT +1Salary: Base + Benefits (Paid in Euros €)Relocation: VISA & Relocation Package IncludedRequirements A University graduate with relevant degree within a computing or business discipline A Microsoft Dynamics Customer Engagement Certification (2015, 2016 or 365) Minimum 3 years’ experience working with Microsoft Dynamics Customer Engagement / CRM Online 2015, 2016 or 365 Minimum 3 years hands-on experience designing and developing D365CE extensions such as plugins, custom workflows and JavaScript as well as application security, HTML, Actions and APIs A good understanding of best practices for .Net Development, including code management (i.e. source control), unit testing methodologies and build processes Experience in D365CE Configuration, Customisation, standard workflows, dashboards, forms, views and standard reports development is a must Knowledge and understanding of all CRM functional areas including Sales, Marketing, Customer Service, Field Service and Professional Services An understanding of the Dynamics 365 Common Data Model and Common Data Service, including customising or extending them for different solutions Fundamental understanding and experience working on Power Platform stack especially Power Apps & Power Automate D365CE Integration Development using supporting Microsoft technologies such as Common Data Service, Flow, Logic Apps and Azure Service Bus Experience in using Azure DevOps (VSTS) for source control Experience in using and configuring Azure DevOps build and release pipelines Microsoft Power BI development HTML5 Development in line with D365CE Technical knowledge in Microsoft SQL Server, Reporting Services (SSRS) Integration Services and Analysis Services Data migration experience in-line with D365CE including best practices around speed and efficiency Experience in using third party tools for D365CE integration and migrations, for example Scribe or Kingsway Soft SSIS adapters Experience and knowledge of D365CE Accelerators, industry templates and add-ons as well as ISV solutions and products commonly used in D365CE projects Experience working with off/near-shore team A proven track record of successful implementation of D365CE technological solutions within enterprise companies Experience in a delivery-orientated IT environment using waterfall and agile methodologies Technical project documentation experience especially for work packages to be implemented by offshore teams Responsibilities Contribute to the delivery of high-quality business and software solutions to our clients using your knowledge of Dynamics 365 CE functional capabilities working closely with client teams and business stakeholders Work alongside the Solution and Technical Architects or Senior Developers to help create high quality design and sustainable client solutions and project documentation Working in an Agile or Waterfall approach depending on the business requirements Implementation of technical solutions for customer requirements in D365CE Ensuring all design/technical documentation is kept up to date during the development process Development on components outside of the core D365CE platform but within the wider Microsoft stack for example Power BI, Logic Apps, Azure Service Bus and PowerApps Working with both on-shore and off/near-shore development teams Deliver all development work as per Microsoft Business Solutions (MBS) Project Methodology, ensuring that all software applications are implemented successfully per the project plan: on time and on budget Be an active member of technical and design working groups within the practice Adhere to best practice and our client’s technical standards during all development Ensure proper code management takes place for all development work including source control, unit-testing and code reviews. Working alongside the Technical Architects to implement any agreed strategy for automated builds and release on projects is in place Communicate progress updates to relevant parties both formally and informally Identify any risks and issues early and raise through the appropriate governance channels To carry out additional duties as may occur from time to time as instructed and agreed by the Practice management team Always represent our client Microsoft Business Solutions in a professional and positive manner The Employee is required to follow our client’s Information Security Policies (ISP and ISMP) at all times Microsoft Business Solutions OverviewAt our client, your long-term future is every bit as important to them as it is to you. That’s why our clients aim is to give you experiences that will stay with you for a lifetime. Whether it’s great training and development, mobility opportunities or corporate responsibility volunteering activities – you’ll gain a wealth of experiences on which to build a rewarding career. Our client is a firm that encourages you to be yourself, values your contribution, and inspires you to act as a role model, always focused on doing the right thing for each other, our clients, and our communities.This sets out all the different ways you’ll be rewarded at our client. Among other things, you can benefit from honest conversations about your career as well as a range of other rewards. In all these ways and more, they have created an environment that can bring out the best in you.#Bethechange and #makethechange. Join our talented, successful team and make the leap into the future.For this exciting opportunity they have put together a great package that combines a competitive salary with a bundle of extras including allowances, business travel allowances, certifications to support you in your career growth, private insurance, and medical insurance for you and your family.Don’t worry, our client knows that relocation can be a challenge, which is why they have an extremely supportive onboarding team to help you throughout this process! - They provide relocation support for you and your family. Our client is looking forward to meeting you and seeing you grow. Black Pen Recruitment",https://www.careerjet.com.om/jobad/omdba1863cf1ca658b0465db6c24519c16,careerjet
Healthcare Assistant - Oman,People Perfect,Muscat,0000-00-00T00:00:00,"Job Description: Assist nurses and doctors in day-to-day patient care Help patients with mobility, hygiene, and feeding Monitor and record patient health conditions Maintain cleanliness and stock of medical supplies Ensure accurate patient documentation and reporting Adhere to all health, safety, and infection control protocols Qualifications: ANM (Auxiliary Nurse Midwife) 1-year program from a reputed institute Minimum 3 years of experience in a healthcare setting Positive Dataflow reports are mandatory People Perfect",https://www.careerjet.com.om/jobad/om97051432c1c4c88dab3049b5bce2421a,careerjet
Nursing Assistant - Oman,People Perfect,Muscat,2025-06-19T11:41:34,"Job Description Assist registered nurses and medical staff in daily patient care Monitor vital signs and report changes in patient conditions Help patients with personal hygiene, feeding, and mobility Maintain cleanliness and organisation of patient rooms and medical equipment Ensure accurate and timely documentation of patient information Follow all health and safety protocols strictly Qualification ANM 2 program from a reputed institute Minimum 3 years of experience in a healthcare setting Positive Dataflow reports are mandatory People Perfect",https://www.careerjet.com.om/jobad/om996733a691638606792b532f37e3dfe7,careerjet
Dynamics 365 CE Consultant 2,Black Pen Recruitment,Muscat,2025-04-24T11:41:34,"Our client’s Microsoft Business Solutions team is a Microsoft Gold Partner and leader in Microsoft software implementations for medium to large organisations, providing their clients with the ability to keep up with the ever-changing digital world by implementing Microsoft’s Enterprise Resource Planning (ERP) and Customer Engagement (CE) software from the Microsoft Dynamics 365 (D365) software line.Role OverviewThe Dynamics Power Platforms & CE Consultant is a core team member of our client’s customer delivery of Microsoft Dynamics 365 centred solutions. The Consultant will be involved in the business processes and solution design and will be hands on configuring and customising the implementation of Dynamics Power Platforms solutions working with both onshore and offshore development teams.Job Location: Silema, MaltaWork Type: HybridJob Type: Full-time, PermanentWorking Hours: GMT +1Salary: Base + Benefits (Paid in Euros €)Relocation: VISA & Relocation Package IncludedRequirements Broad understanding of Dynamics 365 (Customer Engagement) functionalities An understanding of the broader Microsoft stack and be able to leverage it to create powerful solutions (PowerApps, Power BI, Data Verse, Azure, Office 365) and working in fast paced Agile environments Willingness to develop your knowledge of new functionality in the Microsoft platforms, keeping on top of roadmaps, studying for certifications to ensure we help deliver best solutions to our clients Ability to clearly articulate and present your ideas and solutions in line with the capabilities of Microsoft Dynamics 365 Successfully translate business and customer needs into a great digital customer experience Good understanding of Microsoft Dynamics Power Platforms Accelerators, industry templates and add-ons Understanding of scope (creep) and use of change control processes Delivery of end-user training to clients and colleagues where applicable Identify business/project risk and communicate as necessary Microsoft Dynamics CRM Certifications, ideally most current versions are desirable Preferably a University graduate with relevant degree within a computing or business discipline Experience in consulting and good presentation skills Confident in own ability and demonstrates this to clients and colleagues Works independently as well as in a team environment Good, clear communication skills Ability to manage time and prioritise multiple tasks accordingly Good problem-solving capabilities Client centric approach with emphasis on client satisfaction Confidence to reach out to more senior colleagues for guidance and advice A proven track record of successful implementation of several solutions within medium to large client companies, preferably across several business verticals Experience in a delivery-orientated IT environment using waterfall and agile methodologies Business process mapping, modelling and documentation knowledge Minimum 3-5 years hands-on proven functional experience in Power Platforms configuration, standard customisation, standard workflows, dashboards, flows, forms, views and standard reports development Proven ability to develop a clear understanding of clients’ needs and incorporate them into a solution Beneficial to have experience of Azure DevOps Knowledge and understanding of capabilities of D365 CE functional areas in four of the following modules: Sales Management, Marketing, Customer Service Management, Field services & Project services automation Responsibilities Contribute to the delivery of high-quality business and software solutions to our clients using your knowledge of Dynamics 365 CE functional capabilities working closely with client teams and business stakeholders Organise, manage, and document workshops, meetings and requirements sessions with the client representatives, project stakeholders and delivery team(s) Interface effectively with other members of the delivery team and the solution Architect to ensure that the Power Platforms solution meets client’s requirements Deliver high quality business and software solutions and services to clients ensuring the implementation of best practices based on Microsoft Dynamics standards and supported configuration/customisations The creation of high quality and sustainable client solutions and project documentation including support for testing activities Deliver all consultancy and configuration work according to our client’s project methodology, ensuring that all software applications are implemented successfully according to the project plan: on time and on budget Contribute to Pre-Sales activities as required including building demo and proof of concept solutions for various client presentations Delivery of end-user training to clients and colleagues where applicable Work on the creation of our client’s Dynamics 365 solutions and industry templates Meet and exceed customer expectations of business knowledge, skills and behaviour Identify business/project risks and mitigate or communicate as necessary Communicate progress updates to relevant parties both formally and informally Support practice development activities such as defining and configuring industry specific solutions In all activities, ensure timely completion of internal processes and mandatory training Work on own initiative and with minimal support if needed To carry out additional duties as may occur from time to time as instructed and agreed by the management team Promotes the Values of our company Ensure timely completion of internal processes and mandatory trainings The Employee is required to follow our client’s Information Security Policies (ISP and ISMP) at all times. Microsoft Business Solutions OverviewAt our client, your long-term future is every bit as important to them as it is to you. That’s why our clients aim is to give you experiences that will stay with you for a lifetime. Whether it’s great training and development, mobility opportunities or corporate responsibility volunteering activities – you’ll gain a wealth of experiences on which to build a rewarding career. Our client is a firm that encourages you to be yourself, values your contribution, and inspires you to act as a role model, always focused on doing the right thing for each other, our clients, and our communities.This sets out all the different ways you’ll be rewarded at our client. Among other things, you can benefit from honest conversations about your career as well as a range of other rewards. In all these ways and more, they have created an environment that can bring out the best in you.#Bethechange and #makethechange. Join our talented, successful team and make the leap into the future.For this exciting opportunity they have put together a great package that combines a competitive salary with a bundle of extras including allowances, business travel allowances, certifications to support you in your career growth, private insurance, and medical insurance for you and your family.Don’t worry, our client knows that relocation can be a challenge, which is why they have an extremely supportive onboarding team to help you throughout this process! - They provide relocation support for you and your family. Our client is looking forward to meeting you and seeing you grow. Black Pen Recruitment",https://www.careerjet.com.om/jobad/omf39d44cc042f8d3c5bd4794129cd31da,careerjet
Sales Manager / Corporate & GCC,Anantara,"Nizwa, Ad Dakhliyah",0000-00-00T00:00:00,"Company DescriptionA luxury hospitality brand for modern travellers, Anantara connects guests to genuine places, people and stories through personal experiences and providing heartfelt hospitality in the world’s most exciting destinations. From pristine islands and tropical beaches to cosmopolitan cities, tranquil deserts and lush jungles, Anantara welcomes guests for journeys rich in discovery.Job DescriptionYou will participate in all sales activities and work in line with the sales and marketing plan for the various market segments in order to exceed hotel revenue and targets. The scope of responsibility includes: promoting the hotel brand, contracting new business and maximizing revenue for the hotel. You are also in charge of establishing outstanding businesses relationships within local, domestic and international markets monitoring competitor activities and market intelligence attending travel functions and sales road shows and organizing sales trips to promote sales for the hotel. We will provide training that will equip you to be a confident Sales Manager who stands out in the market by achieving exceptional results.You will report directly to the Director of Sales who will provide coaching and support to enable you to achieve what you are driving for.Qualifications Bachelor's degree in marketing or related field Pro-active, self motivated, loves challenges A minimum of 3 years of relevant work experience in a 5 star Hotel Excellent communication skills The ability to achieve sales targets and work in a highly pressurized environment Passion to lead and a desire to succeed Anantara",https://www.careerjet.com.om/jobad/om4af55f97c01d9ac149ae9c41fe93e28e,careerjet
Commis I,Anantara,"Salalah, Dhofar",0000-00-00T00:00:00,"Company DescriptionA luxury hospitality brand for modern travellers, Anantara connects guests to genuine places, people and stories through personal experiences and providing heartfelt hospitality in the world’s most exciting destinations. From pristine islands and tropical beaches to cosmopolitan cities, tranquil deserts and lush jungles, Anantara welcomes guests for journeys rich in discovery.Job DescriptionLike all members of the kitchen team, the Commis Chef must maintain high standards of health and safety, including personal hygiene. You will be responsible for producing the most creative and excellent dishes, ensuring that the guests expectations are exceeded and fully satisfied. The person in this position must be able to effectively communicate with other members of the kitchen team, this includes being able to gracefully receive constructive criticism as well as effectively carry out orders. Additionally, a Commis Chef also needs to be able to remain calm while multi-tasking, as they are often called upon to carry out many different orders simultaneously in a brief amount of time. The Commis Chef is a part of the kitchen team, and as such must be able and willing to perform the basic tasks of food preparation and organization in the kitchen. This ability to create excellence in your own area of responsibility and to support others as they do the same is vital to the successful operation of the kitchen and to ensure the enjoyment of guests.Qualifications High School degree Previous experience in a Food & Beverage/Restaurant operations role Passion for teamwork Excellent guest service skills Knowledge of basic preparation, presentation and preservation of food Basic knowledge of hygiene and safety procedures Anantara",https://www.careerjet.com.om/jobad/om9b00c58f73e40416cddbf11089b41ded,careerjet
