Title,Company,Location,Date Posted,Description,Link
PRO Admin OR HR Admin,wipro,Muscat - Oman,2 Jun,"Job Description
Roles & Responsibilities
Key Responsibilities and Skills:
Example Job Responsibilities:
- Administrative Support:Managing      schedules, coordinating meetings, handling paperwork, and assisting with      Admin/operations/HR tasks.
- Communication and      Interpersonal Skills:Excellent      communication, both written and verbal, and the ability to build      relationships with colleagues and stakeholders.
- Technical Proficiency:Proficiency in      Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and other      relevant software.
- Analytical and      Problem-Solving Skills:Ability to analyze data, identify problems, and      propose solutions.
- Organizational and      Multi-Tasking Skills:Strong      ability to prioritize tasks, manage multiple projects, and meet      deadlines.
- Policy and Procedure      Implementation:Experience      in implementing and enforcing company policies and procedures.
- Vendor Management:Ability to manage      and negotiate with vendors.
- Organizing and managing      daily office activities, including scheduling meetings, coordinating      appointments, travel arrangements,  events and overseeing front desk      operations.
- Manage and maintain      records and reports.
- Manage office supplies      and equipment.
- Prepare and maintain      documents in both digital and paper formats.
- Assist with onboarding      and employee relations.
- Monitor project progress      and provide reports.
- Identify areas for      improvement and suggest solutions to enhance efficiency.
- Manage audit and any      other local compliance requirements
- Maintaining accurate and      up-to-date office records
- Updating documents and      ensuring compliance with local regulations.",https://www.naukrigulf.com/hr-administrator-jobs-in-muscat-oman-in-wipro-ltd-5-to-10-years-m-cd-52070-jid-020625000073
Applications Unlimited Sales Representative,Oracle,Oman - Oman,12 Jun,"Job Description
Roles & Responsibilities
What you ll do
Oracle EMEA License Applications team is hiring dynamic and energetic individuals to help customers maximise their investment on E-Business Suite, Peoplesoft, JDE, Hyperion and Siebel.
The team is looking for both experience sales reps with a background in selling these solutions or junior reps starting their careers.
Requirements
Sounds Like You? We Want to Hear from You! What s In It for You? When You Grow, We Grow!
At Oracle, our success starts with people who make it happen   our employees. Therefore, Oracle is committed to providing you with the rewarding career development you re seeking, but also with unmatched benefits that help you get the most out of your career and your life.
As a world leader in cloud solutions, Oracle uses tomorrow s technology to tackle today s challenges. We ve partnered with industry-leaders in almost every sector and continue to thrive after 40+ years of change by operating with integrity.
We know that true innovation starts when everyone is empowered to contribute. That s why we re committed to growing an inclusive workforce that promotes opportunities for all.
Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical, life insurance, and retirement options. We also encourage employees to give back to their communities through our volunteer programs.
What you ll do
Oracle EMEA License Applications team is hiring dynamic and energetic individuals to help customers maximise their investment on E-Business Suite, Peoplesoft, JDE, Hyperion and Siebel.
The team is looking for both experience sales reps with a background in selling these solutions or junior reps starting their careers.
Requirements
- Achieve individual revenue targets (indirect /direct) for assigned territory
- Pipeline and forecast management for your territory
- Establishing, building and nurturing long term, positive business relationships with key partners through forging a deep understanding of their business, the challenges they face, future projects and plans.
- Maintain close relationships with potential customers, current clients and partners
- Support development of cloud business by pro-actively proposing hybrid solutions and development working relationship with SaaS Sales teams.
- Experience positioning EBusiness Suite, Peoplesoft, JDE, or Siebel
- Fluent English plus applicable territory language
- Negotiation skills and proven track record in establishing and developing successful long-term business relationships.
- Achieve individual revenue targets (indirect /direct) for assigned territory
- Pipeline and forecast management for your territory
- Establishing, building and nurturing long term, positive business relationships with key partners through forging a deep understanding of their business, the challenges they face, future projects and plans.
- Maintain close relationships with potential customers, current clients and partners
- Support development of cloud business by pro-actively proposing hybrid solutions and development working relationship with SaaS Sales teams.
- Experience positioning EBusiness Suite, Peoplesoft, JDE, or Siebel
- Fluent English plus applicable territory language
- Negotiation skills and proven track record in establishing and developing successful long-term business relationships.",https://www.naukrigulf.com/applications-unlimited-sales-representative-jobs-in-oman-in-oracle-2-to-5-years-n-cd-10002838-jid-120625500930
SaaS Account Executive,Oracle,Oman - Oman,10 Jun,"Job Description
Roles & Responsibilities
What you ll do
Our dedicated sales executives are the crucial link between Oracle Cloud Applications and the customers who need our technology. With full agency over the accounts and deals in your territory, you ll build high-level connections, influence business decisions, and gain hands-on experience in multiple sales areas.
Implement the Oracle Applications strategy throughout your territory
Take part in new business sales, expansions, renewals, and account management
Support a variety of customers, from charities to multi-national strategic accounts
Drive transformational deals and influence C-level decision makers
Collaborate with hardworking and supportive sales functions
Develop long-term, sustainable relationships with customers and partners
What we ll offer you
A competitive salary with exciting benefits
Flexible and remote working so you can do your best work
Learning and development opportunities to advance your career
An Employee Assistance Program to support your mental health
Employee resource groups that champion our diverse communities
Core benefits such as medical, life insurance, and access to retirement planning
An inclusive culture that celebrates what makes you unique",https://www.naukrigulf.com/saas-account-executive-jobs-in-oman-in-oracle-2-to-3-years-n-cd-10002838-jid-100625500812
"Speciality Doctors ( Cardiologist , Urologist , Internal medicine )",N/A,Oman - Oman,10 Jun,"Job Description
Roles & Responsibilities
Job Summary:
We are seeking a qualified and experiencedSpecialist Doctor (Cardiologist , Urologist , Internal medicine )]to join a reputed hospital/clinic. The ideal candidate should be well-versed in diagnosing, treating, and managing patients within their area of specialization, ensuring the highest standards of care and clinical outcomes.
Key Responsibilities:
Qualifications & Skills:
- Examine patients and diagnose complex medical conditions related to the specialty.
- Prescribe and administer appropriate treatments, procedures, or surgeries.
- Interpret diagnostic tests (e.g., X-rays, MRIs, ECGs, etc.) and lab results.
- Collaborate with general physicians and other specialists for multidisciplinary care.
- Provide post-treatment monitoring and follow-ups.
- Document patient history, treatment plans, and clinical progress accurately.
- Participate in medical audits, CMEs, and quality assurance initiatives.
- Train junior doctors or residents if applicable.
- Maintain up-to-date knowledge of latest medical advancements in the specialty.
- MBBS + MD/MS/DNB in [Specialty] from a recognized institution.
- DM/MCh (if applicable for super-specialty roles).
- Valid medical license (MCI/DMC/[local medical council as per location]).
- 1+ years of relevant clinical experience post specialization.
- Excellent diagnostic and decision-making skills.
- Strong communication and patient-interaction skills.
- Commitment to ethical medical practices.",https://www.naukrigulf.com/speciality-doctors-jobs-in-oman-in-wow-softech-1-to-6-years-n-cd-20010126-jid-100625500169
Technical Project Engineer,N/A,Oman - Oman,30 May,"Job Description
Roles & Responsibilities
Education:1. Diploma / Engineering Graduate in Electronics / Instrumentation.Product Certifications (CCTV/ACS/PA/Fire Alarm/ Structured Cabling)(advantageous).PMP or Equivalent (advantageous)Experience:1. Overall 7years experience in handling major turnkey EPC security projectsalso including Design & Installation of ELV Systems such as CCTV, ACS,ELV, IDS, PA, Structured Cabling and Fire Alarm Systems.2. Solid work knowledge and experience required such as site commissioning,headend configurations and upgradations are preferred.English a must. Hindi & Arabic are Preferred.HSE training courses:Strong communication skills.Good Presentation Skills.Special skills:Expertise in system design, BOQ preparation, tender documentation, andcost estimation.Proven ability to Troubleshoot, Testing, Commission ELV systems.Proficient in working with testing equipment like Fluke, OTDR, and OLTStesters.Experience sourcing IT and ELV products for optimal projectimplementation and Value engineering of the project.Hands-on experience with Primavera P6, MS Project, AutoCAD, andQA/QC software.Proven leadership, team management, and stakeholder coordinationskills.
Job Description/Competence RequirementsFull-time on-site role for a Technical Project Engineer (TPE) ELV at MAJEES TECHNICAL SERVICES LLClocated in Muscat /Oman. The TPE- ELV will be responsible for Configuration, Testing and Commissioning ofExtra Low Voltage systems such as CCTV (Bosch/ Axis), Video Management System (Milestone/Digifort),Access Control (Lenel/Quanika), Perimeter Intrusion Detection System (Gallagher). Also, need to involve onday-to-day tasks related to installations, maintenance, and troubleshooting across various sectors and handleprojects start from design to successful hand over to Client.
Role: Security Engineer / Analyst
Industry Type: IT Services & Consulting
Department: IT & Information Security
Employment Type: Full Time, Permanent
Role Category: IT Security
Education
UG: Diploma in Electrical, B.Tech/B.E. in Electrical and Electronics, Instrumentation",https://www.naukrigulf.com/technical-project-engineer-jobs-in-oman-in-majees-technical-services-6-to-8-years-n-cd-20010126-jid-300525501249
Chef De Partie,Calo Inc.,Muscat - Oman,28 May,"Job Description
Roles & Responsibilities
Role OverviewWe re looking for a skilled Chef De Partie to join Calo Kitchen team. You ll support the Sous Chefs, Kitchen Manager, and Head Chef in managing daily kitchen operations   including supervising staff, maintaining food quality, assisting with menu preparation, and handling inventory. This role requires both culinary talent and leadership skills, with a strong focus on consistency, efficiency, and customer satisfaction.
Main Responsibilities
Ideal Candidate
Qualifications
Knowledge and Competency
Personality
- Ensure the kitchen operates efficiently and meets quality standards
- Assist the Sous Chefs, Kitchen Manager, and Head Chef when planning and directing food preparation
- Resolve issues that arise and take control of any problematic situations
- Manage, train, and supervise kitchen staff, establish work schedules, and assess staff performance
- Provide direction to kitchen personnel and communicate tasks clearly
- Order supplies and manage inventory
- Ensure compliance with sanitation regulations and safety standards
- Maintain a positive and professional approach with coworkers
- Produce high-quality plates, focusing on both design and taste
- Previous experience as DCDP or CDP
- 3 6 years of experience in hospitality, catering, or high-volume food production environments
- Currently based in the Oman
- Proficient in English communication
- Ability to work rotating shifts (day, afternoon, night) depending on the company s needs
- Experience leading and mentoring junior kitchen staff
- Strong organizational and time management skills
- Ownership of a kitchen section with consistent output and quality control
- Effective verbal communication and ability to relay instructions
- Familiar with current culinary trends and kitchen best practices
- Clear and confident communicator with a positive attitude
- Leads with empathy and promotes a collaborative kitchen environment",https://www.naukrigulf.com/chef-de-partie-jobs-in-muscat-oman-in-calo-inc-3-to-6-years-n-cd-10008653-jid-280525501189
Commis Chef,Calo Inc.,Muscat - Oman,28 May,"Job Description
Roles & Responsibilities
Role Overview
We are looking for a Commis Chef to join Calo Kitchen team. In this role, you will support the Chef De Partie in meal preparation, kitchen maintenance, and ensuring safety and hygiene standards. Success in this role means helping the kitchen run smoothly while upholding the quality and consistency of meals prepared for our customers.
Main Responsibilities
Ideal Candidate
Qualifications
Knowledge and Competency
Personality
- Measure, mix, and prepare ingredients, sauces, and seasonings
- Plate meal items under the guidance of the Chef De Partie
- Monitor kitchen equipment and promptly report any issues
- Maintain cleanliness and follow food safety and hygiene standards
- Discard expired or spoiled ingredients and support inventory checks
- Continuously develop culinary skills and product knowledge
- Maintain a professional and positive attitude in the kitchen
- Support the team in producing high-quality dishes in both taste and presentation
- 1 3 years of experience as a Commis Chef or in a similar kitchen role in hospitality, catering, or high-volume food production environments
- Currently based in Oman
- Proficient in English communication
- Flexible to work rotating shifts (day, afternoon, night) as needed
- Good understanding of food hygiene, health, and safety standards
- Familiar with basic kitchen operations, ingredient preparation, and plating
- Able to follow instructions accurately and support senior chefs effectively
- Basic understanding of kitchen inventory and equipment care
- Eager to learn and grow in a fast-paced culinary environment
- Reliable and detail-oriented with a strong work ethic
- Positive, respectful, and team-oriented
- Can remain calm and consistent under pressure",https://www.naukrigulf.com/commis-chef-jobs-in-muscat-oman-in-calo-inc-3-to-4-years-n-cd-10008653-jid-280525501228
Food Packer,Calo Inc.,Muscat - Oman,28 May,"Job Description
Roles & Responsibilities
Role Overview
We are looking for a reliable Food Packer to join our dispatch team. In this role, you will be responsible for portioning and packing meals accurately and efficiently. You ll play an important part in ensuring all customer orders are prepared and dispatched on time while upholding high hygiene and quality standards.
Main Responsibilities
Ideal Candidate
Qualifications
Knowledge and Competency
Personality
- Portioning the components for every meal for every specific customer on time before deliveries go out
- Communicating with the drivers & Customer Experience team to ensure a top notch customer experience
- Maintaining proper hygiene standards in the kitchen
- Ensuring any last minute changes are carried out with our high standards
- 1 2 years of experience in a food dispatch or kitchen packing role (fast food or similar preferred)
- Currently based in Oman
- Basic spoken and written English
- Understanding of hygiene and cleanliness standards in a kitchen setting
- Familiarity with food safety principles is a plus
- Able to follow instructions and work efficiently under time pressure
- Good communication and teamwork skills
- Respectful, enthusiastic, and committed to doing the job well
- Acts with empathy and consideration for teammates
- Punctual, dependable, and detail-oriented
- Comfortable in a fast-paced, structured environment",https://www.naukrigulf.com/food-packer-jobs-in-muscat-oman-in-calo-inc-2-to-4-years-n-cd-10008653-jid-280525500765
Oracle Hyperion Functional Consultant,N/A,Oman - Oman,27 May,"Job Description
Roles & Responsibilities",https://www.naukrigulf.com/oracle-hyperion-functional-consultant-jobs-in-oman-in-capita-technologies-10-to-14-years-n-cd-20010126-jid-270525500584
Cloud Value Rep,Oracle,Oman - Oman,26 May,"Job Description
Roles & Responsibilities
What you will do
Engage in strategic C-level conversations to uncover cloud transformation opportunities while conducting in- depth needs assessments and solution demonstrations. You will collaborate with technical experts to craft tailored cloud proposals and negotiate complex contracts and ensure seamless deal execution by:
Evangelizing Oracle's Cloud Vision:Become a trusted advisor to C-level executives, demonstrating how Oracle's AI and Cloud Infrastructure solutions can transform their businesses and drive unprecedented success.
Leading Transformational Deals:Orchestrate complex sales cycles, navigating technical intricacies and securing buy-in from multiple stakeholders.
Scaling Cloud Adoption Across Industries:Identify high-potential opportunities across diverse sectors, tailoring Oracle's cloud solutions to address unique challenges.
Forging Strategic Partnerships: Collaborate with Oracle's partner ecosystem to expand market reach and deliver comprehensive cloud solutions.
Being a Champion for Customer Success: Ensure seamless implementation and adoption of Oracle's cloud technology, fostering long-term customer relationships.
Your Experience
Proven Sales Acumen:several years of enterprise software/cloud sales experience, with a track record of exceeding targets and closing multi- million-dollar deals.
C-Level Engagement:Demonstrated ability to build relationships and influence senior executives across various industries.
Cloud Passion and Expertise:Deep understanding of cloud technologies (IaaS, PaaS, AI) and their potential applications across different business functions.
Technical Fluency:Ability to articulate complex technical concepts in a clear and concise manner to both technical and non-technical audiences.
Customer-CentricApproach:Unwavering commitment to understanding customer needs and delivering exceptional value.
Create the future with us
Oracle's Cloud Advantage
Industry Leadership:Oracle's cloud solutions are recognized for their innovation, security, and scalability.
Unmatched Data Security:Oracle's unique approach to data security ensures customer data remains protected throughout the cloud journey.
Customer-Centric Focus:Oracle is committed to partnering with customers to achieve their cloud goals and drive long-term success.
Culture of Innovation:Oracle fosters a collaborative environment where employees are encouraged to push boundaries and unleash their full potential.
Comprehensive Portfolio: Oracle offers a complete suite of cloud solutions, including IaaS, PaaS, and AI, providing customers with a one-stop shop for their digital transformation needs.",https://www.naukrigulf.com/cloud-value-rep-jobs-in-oman-in-oracle-2-to-4-years-n-cd-10002838-jid-260525500811
