title,company,location,date_posted,link,description
Business Development Officer (Assistance Division - Oman Based),Braxtone Group,"Muscat, Oman",2 months ago,https://app.qureos.comhttps://app.qureos.com/jobs/business-development-office-oman-based-192198,"BRIEF DESCRIPTIONThe Business Development Officer will be responsible for identifying and pursuing new business opportunities, building relationships with clients, managing the Braxtone Club Program, and expanding the company's presence in the motor sector. The role involves working closely with cross-functional teams to drive growth and improve market position while ensuring the company remains competitive and aligned with industry trends.Reporting: Operations ManagerKey Responsibilities:Identify new business opportunities within the motor sector, including car dealerships, fleet management companies, automotive suppliers, and more.Build and maintain relationships with key stakeholders, including clients, partners, suppliers, and industry influencers.Monitor industry trends and competitor activities to identify new opportunities and stay ahead of market shifts.relationship management with our customers (insurance, broker, rental cars, and motor-agencies, others...)arranging meetings with potential clients (insurance, broker, and motor-agencies, others)Handling Braxtone Club Program and expanding the service provider network.Fund collection from the SP and enroll them in the program.helping with the management of SP (getting new service providers, helping with discount and reduced rates).Conducting market research and being able to analyze collected data.Obtaining new product suppliers and marketing the company.Negotiate contracts and terms with clients and suppliers to ensure favorable conditions for the business.Helping with digital media advertisements.working to arrange events and promotions to enhance sales and awareness of the company in Oman.Marketing and securing new accounts for RSA program and related activities.Establish and nurture relationships with key industry players, including manufacturers, distributors, service providers, and other relevant stakeholders.Representing the company at industry events, trade shows, and conferences to build brand awareness and generate leads.Identify potential partnerships and joint ventures to expand the company's market reach and service offerings.Conduct market research to assess customer needs, market trends, and competitor activity.Prepare and deliver regular reports to senior management on business development progress, sales performance, and industry trends.Analyze data to develop actionable insights and adjust strategies to meet business objectives.Educational, Skills and Experience:Bachelor’s degree in business administration, Marketing, Automotive, or a related field.Proven experience (2+ years) in business development or sales, with a focus on the motor or automotive sector.Strong understanding of the motor industry, including trends, regulations, and key players.Excellent communication, negotiation, and interpersonal skills.Ability to build and maintain strong relationships with clients, partners, motor-agencies and stakeholders.Strong analytical and problem-solving skills.Goal-oriented and self-driven with a proven track record of achieving sales targets and business objectives.Ability to work in a fast-paced, dynamic environment.Proficiency in Microsoft Office Suite and CRM software.Additional Requirements:Willingness to travel as needed.Valid driver’s license.Reporting to:Operations ManagerLocation:Oman (With travel flexibility)"
خياط ـ فني تطريز او م صمم تطريز,Sultan Aljahdhami Projects,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/-670533,"Hiring: Tailor for a Sewing & Embroidery WorkshopWe are looking for askilled tailorto join our teamResponsibilities:Perform sewing tasks according to designs and specifications.Cut fabrics and assemble pieces with precision and care.Efficiently operate industrial sewing machines.Ensure high-quality finishing and meet production standards.Collaborate with the team to meet order deadlines.Requirements:5years of experience in tailoring.Ability to work accurately and efficiently.Punctual, reliable, and able to work under pressure.Valid UAE residency.Benefits:Competitive salary + performance-based incentives.Professional and supportive work environment.Opportunities for skill development and career growth.To apply, please send your CV viaWhatsAppor contact us at+968 92266597نوع الوظيفة: دوام كاملالراتب المدفوع: ﷼١٠٠٫٠٠٠ لكل شهرJob Id: kdwAklKVroGIKotI5tzcWn0TGHw8QHxGLqRi9bDZNYPeLYc+9zyWjPovnsTs0LSxIRh7i8frpMaIQjFrJlWGsE4fqs0/sK5JSgfjkLNsF3Atg1kL/0XMtOnPwg2Enw5UswrlDZ1/EhQxEkIxdOhKE/Eh1fTmbTrQ6oHVtzPkCpc2rhrEIfb/q5PFSPzmaVngHpOzy6rVw3LkPNogDk7Rs1aL42P6AaLF0bAcwwAz4au/1oOo7JZVTuW+dh5pLW9K87NZGHp4fW0xMnxH+nSr3u6iArLTwVZ8L3rEgyE="
Warehouse Coordinator,Teb Plastic Industries,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/warehouse-coordinator-1749121577417,* arranging warehouse* arrange loading/ unloading products* logisticsJob Type: Full-timePay: Up to RO325.000 per monthApplication Deadline: 02/06/2025Job Id: 7apP7N1pmQGwRGESNySITYEmgrysB8wOpLCi0rgPvxbw5rEjyN4rMuY0GH0FSejLnuw1GRTM2Q+KP7MOS9nHK3Rj2ZVJbEYQrj/mE5UXL8PtETl5WLkYdei/HA==
Waitress,Elite Global HR,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/waitress-1747913881200,"Greet and escort customers to their tablesPresent menu and provide detailed information when asked (e.g. about portions, ingredients or potential food allergies)Prepare tables by setting up linens, silverware and glassesInform customers about the day’s specialsOffer menu recommendations upon requestUp-sell additional products when appropriateTake accurate food and drinks orders, using a POS ordering software,order slips or by memorizationCheck customers’ IDs to ensure they meet minimum age requirements for consumption of alcoholic beveragesCommunicate order details to the Kitchen StaffServe food and drink ordersCheck dishes and kitchenware for cleanliness and presentation and report any problemsArrange table settings and maintain a tidy dining areaDeliver checks and collect bill paymentsCarry dirty plates, glasses and silverware to kitchen for cleaningMeet with restaurant staff to review daily specials, changes on the menu and service specifications for reservations (e.g. parties)Follow all relevant health department regulationsProvide excellent customer service to guestsJob Type: Full-timePay: RO180.000 - RO200.000 per monthJob Id: 2KA8FfORyWN66fjdFCBSO+KCBwaf8ZMjI9OEN9fyc394+nZir2z3cnk5Gbd0uWzL4Lz8CrW14EYcA6bEYsv7hjCwuObkWVUp8X+rIGxI"
Social Media Specialist - Omani National,ALMUZN LEADING TRADE,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/social-media-specialist-omani-national-1747913881682,"Social Media Specialist Responsibilities:Developing social media content plans that are consistent with the company’s brand identity.Creating consistent, meaningful content on all social media platforms, including writing and editing social media posts, improving customer engagement, and promoting social media campaigns.Managing a high volume of daily social media posts.Communicating with social media followers, including responding to queries in a timely manner.Developing and managing social influencer programs and attending social influencer events.Using analytical tools such as Google Analytics, Hootsuite Pro, and Facebook Insights to monitor and evaluate the company’s social media presence and performance.Preparing monthly reports on social media marketing efforts.Suggesting recommendations to adjust the social media marketing strategy for optimal results.Staying up to date on best practices and emerging trends in social media.Performing other duties when needed.Social Media Specialist Requirements:Bachelor’s degree in journalism, communications, marketing, or a related field.1 or more years of social media experience including planning and managing content in a corporate, or agency setting.Excellent written and verbal communication skills and must have a thorough understanding of social media management and strategy.Experience using various analytics software.Multi-tasking and time-management skills, with the ability to prioritize tasks.Ability to work in a fast-paced, high-pressure environment.Job Type: Full-timePay: RO300.000 - RO400.000 per monthApplication Deadline: 15/05/2025Job Id: yYkPrMiF5v8E41NFKYe1UD0CgPdUed6jCDglOl0TB/cimMP30naGG77av9uLLRroLx/NdQrG4iJR/1QURBMlyYFdW9sxtIivQe4gominSFlv+rxjdpzspE28uiRqy2QltQbK7Cwk6kDb3HcA"
Site Supervisor,Sohar Star United LLC,"Suhar, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/site-supervisor-1747913881169,Minimum 10 years in industrial projects executionJob Type: Full-timeJob Id: DCxNPWwLzbE9P9z9VlvHlSWez4+aI+KLklQUuccxhc+Ozd+QASebXUb4v5BUK7h1JX45P2buaKCwhcss2L3D9HJhonipwGXW/ZUuAl6KP6PSLcrJ/w==
Sales Representative,Sketches Production And Design Studio,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/sales-representative-1749721254945,we are looking for a sales representative (female) whi is passionate about salesPrevious sales experience is required (2-5 years)must be available in muscat Omanwho can join us immediatelypresentablegood english and Arabic (plus)Job Type: Full-timePay: From RO250.000 per monthApplication Deadline: 15/06/2025Job Id: vLG+elk4FiAWUGYcLNLeh1w6mP/3PHM0G3m1qL8uBK3pzSD+xl9XMxbgktyYYq3YCeJIdkov6ylH5Knw/sqVA3oRgc2bDjGL0wxzp6o4ENfp75h3GdDKTTVv
Foreman,Sketches Production And Design Studio,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/foreman-1749721236139,"Sketches production and design studio is looking for a foreman, who can take care of the projects and finish it a timelyour projects are rear signages, lamposts, billboards, interiors , events, and decorrequirements:Candidate must be avaialble in Muscatimidialty join uswho has previous experience in the same fieldWe want a problem solverthose who are interested and think they can work in presure, please share your cvJob Type: Full-timePay: RO200.000 - RO300.000 per monthJob Id: 4GvLPeKIvLDCZX3/LyNKJnvt2yR/r75mzB1thuuVWihkERbR+ZFd3RvMhfkH7ZT7bqUA08qjIHMbhJ9aUULu3iyj3RI3Z/mAWK5bRaI="
Field Operator I,Enerflex Ltd.,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/field-operator-i-1749121540050,"Department: OperationReferral Bonus: 00Job Title : Field Operatorr Responsible for assisting in the safe and efficient operation of the plant to support production targets. Perform routine operational tasks under supervision, ensuring safety and procedural standards compliance. Communicate effectively with team members and supervisors to maintain reliable and trouble-free operations..Assist in operating and monitoring process equipment ensuring compliance with safety standardsMonitor and record equipment operational parameters in the field, reporting abnormalities to the Control Room Operator (CRO) or SupervisorsSupport system start-ups and shutdowns as directed by supervisorAssist in pressurizing and depressurizing equipment and pipelines when requiredRegularly check pressure, delta pressure, temperature, and level gauges, reporting irregularities to the CROFollow instructions from the CRO or Supervisors to maintain stable plant operations and support production optimizationAdhere to QHSE standards and procedures (e.g., LOTO, PTW, TBT, JHA) and ensure proper documentation of tasksParticipate in training and reviews of operational procedures, offering basic feedback for improvementConduct basic operational and maintenance checks (daily, weekly, monthly) under supervisionAssist in preparing equipment for maintenance, including isolation, draining, and decontaminationEnsure accurate and timely handover of information to the next shift teamIdentify and report unsafe conditions to supervisors.Safely handle and top up chemicals, lubricants, and coolants, collecting samples as directedMaintain housekeeping and cleanliness standards during and after tasksComply with Emergency Response Team (ERT) roles and responsibilities as assignedComply with all Enerflex HR, Quality, HSE, and all the Company policies, procedures, processes, work instructions and guidelinesPerform all other duties as assigned by Supervisor / ManagerMinimum a technical degree in Industrial Processes, Chemical, Petroleum or equivalent0-2 years of experience in a similar role within the Oil & Gas sectorFamiliar with plant equipment, processes, and all ongoing activities.General troubleshooting, problem-solving, information analysis, and interpersonal skillsGeneral understanding of Plant PFDs, P & IDs, drawings, Cause & Effect matrix, and Fire & Gas detection system philosophyBasic understanding of Maintenance Management System (Work orders, Preventive/Corrective/and Predictive Maintenance) methodologyComputer proficiency is mandatory. Good working knowledge of typical Microsoft suite of software is required.Good interpersonal and communication skills. Good English command, written and spoken. Arabic is an asset.Motivated, team player, able to work within a diverse cultural environment, willing to learnAbout Us:Transforming Energy for a Sustainable Future.Enerflex is a premier integrated global provider of energy infrastructure solutions, covering gas processing, compression, power generation, refrigeration, cryogenic, energy transition, and water solutions. We proudly employ more than 5,000 highly skilled employees across over 25 countries worldwide.Enerflex places its coreValues of Integrity, Commitment, Creativity, and Successinto action across all aspects of the business. Our innovation, strong commitment to safety, and superior service to our customers positions us as the optimal partner to meet the needs of the dynamic energy industry.We foster a culture of ensuring our employees have the tools to do their jobs right, but to also thrive in their roles. We pride ourselves in our competitive wages, extensive rewards programs, celebration of successes of individuals and teams, and are committed to ensuring Enerflex remains a safe and inclusive space for all.Enerflex is an Equal Opportunity EmployerEnerflex grants equal employment opportunity to all qualified persons without regard to race, color, sex, age, national origin, religion, genetic information, mental or physical disability, or any other characteristic protected by applicable federal, state, or local law. Equal employment opportunities are provided in recruitment, hiring, promotions, wages, benefits, and other terms, conditions, and privileges of employment.DisclaimerThe above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, tasks, duties, knowledge, skills, and abilities required.Job Id: aQ2u++T5AUdkQCu6OXGSNMoNbhLBifEuDdtKVan6DEyMQhCFtFavqLZGC/ZrY++Z2yKt2XNfFGf0RfMoYDQC9yVs/X/rWDy6nOF7sXNQkrYtrAC0jNHZgkMC2EI="
Field Operator I,Enerflex,"Muscat, Oman",5 days ago,https://app.qureos.comhttps://app.qureos.com/jobs/field-operator-i-1749721236146,"Responsible for assisting in the safe and efficient operation of the plant to support production targets. Perform routine operational tasks under supervision, ensuring safety and procedural standards compliance. Communicate effectively with team members and supervisors to maintain reliable and trouble-free operations..Principle Duties & ResponsibilitiesAssist in operating and monitoring process equipment ensuring compliance with safety standardsMonitor and record equipment operational parameters in the field, reporting abnormalities to the Control Room Operator (CRO) or SupervisorsSupport system start-ups and shutdowns as directed by supervisorAssist in pressurizing and depressurizing equipment and pipelines when requiredRegularly check pressure, delta pressure, temperature, and level gauges, reporting irregularities to the CROFollow instructions from the CRO or Supervisors to maintain stable plant operations and support production optimizationAdhere to QHSE standards and procedures (e.g., LOTO, PTW, TBT, JHA) and ensure proper documentation of tasksParticipate in training and reviews of operational procedures, offering basic feedback for improvementConduct basic operational and maintenance checks (daily, weekly, monthly) under supervisionAssist in preparing equipment for maintenance, including isolation, draining, and decontaminationEnsure accurate and timely handover of information to the next shift teamIdentify and report unsafe conditions to supervisors.Safely handle and top up chemicals, lubricants, and coolants, collecting samples as directedMaintain housekeeping and cleanliness standards during and after tasksComply with Emergency Response Team (ERT) roles and responsibilities as assignedComply with all Enerflex HR, Quality, HSE, and all the Company policies, procedures, processes, work instructions and guidelinesPerform all other duties as assigned by Supervisor / ManagerJob Skills, Qualifications and ExperiencesMinimum a technical degree in Industrial Processes, Chemical, Petroleum or equivalent0-2 years of experience in a similar role within the Oil & Gas sectorFamiliar with plant equipment, processes, and all ongoing activities.General troubleshooting, problem-solving, information analysis, and interpersonal skillsGeneral understanding of Plant PFDs, P & IDs, drawings, Cause & Effect matrix, and Fire & Gas detection system philosophyBasic understanding of Maintenance Management System (Work orders, Preventive/Corrective/and Predictive Maintenance) methodologyComputer proficiency is mandatory. Good working knowledge of typical Microsoft suite of software is required.Good interpersonal and communication skills. Good English command, written and spoken. Arabic is an asset.Motivated, team player, able to work within a diverse cultural environment, willing to learnJob Id: kIKle8lwHabE5Q8rzaAahc+vgiDGrisE3mrSqjqHMfMmkL1C9uMGddpCjMiGK4IiYqHP/+IOxGZHtnvEtkqteOkFkkV0lIDDDpIZAKNqyo3ETBmEwKyloS92WfWWWSnyPDLlrf9azkQVDfgQmr8LrYCfcQZ2wQTMt/Pw2A=="
